,Star_name,Distance,Mass,Radius,Madius
73,2MASS J06411840-4322329 [de],65,0.028637640000000002,1.01,0.08837618
74,DENIS-P J0652197-253450 [de],51,0.028637640000000002,1.05,0.08837618
76,2MASS J07075327-4900503,60,0.028637640000000002,1.03,0.08837618
77,UGPS J072227.51-054031.2,13.4,0.028637640000000002,0.98,0.08837618
78,2MASSI J0727182+171001 [de],29.6,0.028637640000000002,0.94,0.08837618
79,2MASS J07290002-3954043 [de],25.8,0.028637640000000002,0.94,0.08837618
80,SDSS J074201.41+205520.5 [de],49,0.028637640000000002,0.94,0.08837618
82,DENIS-P J0751164-253043 [de],55,0.028637640000000002,1.03,0.08837618
83,2MASS J07522390+1612157,60,0.028637640000000002,2.01,0.08837618
84,DENIS J081730.0-615520,16.1,0.028637640000000002,0.94,0.08837618
87,2MASS J08251968+2115521 [de],35,0.028637640000000002,0.98,0.08837618
88,SDSSp J083008.12+482847.4 [de],43,0.028637640000000002,0.99,0.08837618
89,LHS 2021,55,0.028637640000000002,1.15,0.08837618
90,SDSS J083048.80+012831.1 [de],77,0.028637640000000002,0.96,0.08837618
91,2MASSI J0835425-081923 [de],23.53,0.028637640000000002,1.00,0.08837618
92,2MASSI J0847287-153237 [de],43,0.028637640000000002,1.00,0.08837618
93,2MASS J08533619-0329321,27.6,0.028637640000000002,1.07,0.08837618
94,2MASSI J0859254-194926 [de],50,0.028637640000000002,0.98,0.08837618
96,2MASSI J0937347+293142,20.0,0.028637640000000002,0.94,0.08837618
97,2MASS 0939−2448,17.4,0.028637640000000002,0.95,0.08837618
98,2MASS J09490860-1545485 [de],59,0.028637640000000002,0.96,0.08837618
99,2MASS J10073369-4555147,46,0.028637640000000002,0.94,0.08837618
100,2MASSI J1010148-040649 [de],55,0.028637640000000002,0.98,0.08837618
103,2MASS J10224821+5825453 [de],60,0.028637640000000002,1.41,0.08837618
104,2MASSW J1036530-344138 [de],53,0.028637640000000002,0.97,0.08837618
105,2MASS J1047538+212423 [de],34.4,0.028637640000000002,0.94,0.08837618
106,DEN 1048-3956,13.15,0.028637640000000002,1.07,0.08837618
107,Luhman 16B,6.516,0.028637640000000002,1.02,0.08837618
108,Luhman 16A,6.516,0.028637640000000002,1.01,0.08837618
109,DENIS-P J1058.7−1548,49,0.028637640000000002,1.00,0.08837618
110,TWA 28,180,0.028637640000000002,2.39,0.08837618
111,Cha 110913-773444,163,0.028637640000000002,1.8,0.08837618
113,SDSS J111010.01+011613.1,63,0.028637640000000002,1.24,0.08837618
114,2MASS J11145133−2618235,18.2,0.028637640000000002,0.96,0.08837618
115,TWA 26,137,0.028637640000000002,2.20,0.08837618
117,2MASS J11544223-3400390 [de],129,0.028637640000000002,1.50,0.08837618
118,2MASSW J1155395-372735 [de],31,0.028637640000000002,1.00,0.08837618
121,2MASS J12074836-3900043,217,0.028637640000000002,1.71,0.08837618
122,2MASSI J1217110-031113 [de],36,0.028637640000000002,0.94,0.08837618
125,2M 1237+6526,45.6,0.028637640000000002,0.94,0.08837618
127,TWA 29,262,0.028637640000000002,2.00,0.08837618
128,SDSSp J125453.90-012247.4 [de],38,0.028637640000000002,0.98,0.08837618
129,Kelu-1A,61,0.028637640000000002,0.98,0.08837618
130,Kelu-1B,61,0.028637640000000002,0.98,0.08837618
131,2MASS J13204427+0409045,101,0.028637640000000002,1.01,0.08837618
132,SDSSp J132629.82-003831.5 [de],65,0.028637640000000002,0.97,0.08837618
133,SDSSp J134646.45-003150.4 [de],48,0.028637640000000002,0.94,0.08837618
134,2MASS J13595510-4034582,51,0.028637640000000002,1.00,0.08837618
135,ULAS J141623.94+134836.3,29.7,0.028637640000000002,0.96,0.08837618
136,SDSS J141659.78+500626.4 [de],149,0.028637640000000002,0.99,0.08837618
137,DENIS-P J142527.97-365023.4 [de],38,0.028637640000000002,1.32,0.08837618
138,LHS 2924,38.5,0.028637640000000002,1.06,0.08837618
139,2MASS J14392837+1929150,47,0.028637640000000002,1.03,0.08837618
140,LSPM J1440+1339,72,0.028637640000000002,1.19,0.08837618
141,2MASS J14482563+1031590 [de],47,0.028637640000000002,0.99,0.08837618
142,CFBDSIR 1458+10A,104,0.028637640000000002,1.5,0.08837618
143,CFBDSIR 1458+10B,104,0.028637640000000002,1.3,0.08837618
144,TVLM 513-46546,35.1,0.028637640000000002,1.05,0.08837618
145,2MASS 1503+2525,20.7,0.028637640000000002,0.94,0.08837618
146,CFBDS J150411+102717,71,0.028637640000000002,0.94,0.08837618
147,2MASSW J1506544+132106 [de],46,0.028637640000000002,1.02,0.08837618
148,2MASS 1507−1627,23.9,0.028637640000000002,0.99,0.08837618
149,TVLM 868-110639,53,0.028637640000000002,1.08,0.08837618
151,2MASSW J1515008+484742 [de],34,0.028637640000000002,0.99,0.08837618
152,2MASSI J1526140+204341 [de],67,0.028637640000000002,0.98,0.08837618
153,DENIS-P J153941.96-052042.4 [de],51,0.028637640000000002,1.00,0.08837618
154,2MASS J15462718-3325111 [de],37,0.028637640000000002,0.94,0.08837618
155,2MASSW J1552591+294849 [de],68,0.028637640000000002,1.43,0.08837618
156,2MASSW J1555157-095605 [de],44,0.028637640000000002,1.03,0.08837618
157,2MASS J16150413+1340079 [de],48,0.028637640000000002,0.94,0.08837618
158,SDSSp J162414.37+002915.6 [de],36,0.028637640000000002,0.94,0.08837618
159,2MASS J16262034+3925190 [de],110,0.028637640000000002,1.03,0.08837618
160,2MASSW J1632291+190441 [de],50,0.028637640000000002,0.97,0.08837618
161,WISEPA J164715.59+563208.2,28,0.028637640000000002,0.94,0.08837618
162,LSPM J1658+7027 [de],60,0.028637640000000002,1.04,0.08837618
163,2MASSI J1726000+153819,114,0.028637640000000002,1.40,0.08837618
165,SDSSp J175032.96+175903.9,90,0.028637640000000002,0.97,0.08837618
166,2MASS J18283572-4849046,39,0.028637640000000002,0.95,0.08837618
167,LSR J1835+3259,18.5,0.028637640000000002,1.07,0.08837618
168,2MASSW J1841086+311727,138,0.028637640000000002,1.01,0.08837618
169,2MASS J18432213+4040209,46,0.028637640000000002,1.22,0.08837618
170,2MASS J20004841-7523070,105,0.028637640000000002,1.88,0.08837618
171,SDSS J204749.61-071818.3,65,0.028637640000000002,0.96,0.08837618
172,2MASSI J2057540-025230,47,0.028637640000000002,1.02,0.08837618
174,2MASSI J2104149-103736,62,0.028637640000000002,1.02,0.08837618
175,PSO J318.5−22,80,0.028637640000000002,1.53,0.08837618
176,HB 2124-4228,113,0.028637640000000002,1.21,0.08837618
177,2MASS J21392676+0220226,32.1,0.028637640000000002,0.96,0.08837618
178,2MASS J21481628+4003593,26.3,0.028637640000000002,0.99,0.08837618
180,2MASSW J2206450-421721,93,0.028637640000000002,1.33,0.08837618
181,2MASSW J2208136+292121,154,0.028637640000000002,1.41,0.08837618
182,2MASSW J2224438-015852,38,0.028637640000000002,0.99,0.08837618
183,2MASS J22282889-4310262,35,0.028637640000000002,0.94,0.08837618
184,2MASS J22373255+3922398,64,0.028637640000000002,1.04,0.08837618
185,2MASSW J2244316+204343,56,0.028637640000000002,1.29,0.08837618
186,2MASS J23224684-3133231,56,0.028637640000000002,1.39,0.08837618
187,2MASS J23225299-6151275,148,0.028637640000000002,1.59,0.08837618
188,2MASS J23515044-2537367,67,0.028637640000000002,1.16,0.08837618
189,2MASSI J2356547-155310,74,0.028637640000000002,1.09,0.08837618
227,WISE 0410+1502,20,0.028637640000000002,1.17,0.08837618
231,WISE 0458+6434A,35.9,0.028637640000000002,4.2,0.08837618
232,WISE 0458+6434B,35.9,0.028637640000000002,3.8,0.08837618
286,WISE 1405+5534,25.3,0.028637640000000002,0.86,0.08837618
